x,y
1145,605
1145,608
1145,609
1146,612
1146,613
1147,617
1148,617
1147,622
1147,622
1148,625
1149,626
1150,630
1148,632
1148,637
1149,639
1149,641
1149,644
1148,650
1149,651
1151,655
1151,658
1153,662
1155,664
1156,672
1156,674
1157,680
1158,681
1161,692
1163,693
1160,757
1161,758
1163,766
1163,768
1164,769
1164,771
1163,778
1163,779
1163,784
1162,787
1163,792
1161,792
1161,798
1161,800
1161,803
1162,804
1162,808
1161,809
1163,813
1162,814
1162,817
1161,818
1161,822
1161,824
1161,827
1163,827
1163,830
1163,831
1160,834
1160,836
1160,839
1159,840
1159,842
1159,844
1159,845
1160,847
1158,850
1157,851
1158,852
1157,853
1155,855
1155,856
1153,859
1154,861
1154,863
1154,864
1154,866
1153,866
1154,868
1154,869
1155,872
1154,873
1153,875
1153,876
1153,877
1152,879
1151,880
1151,881
1151,882
1150,884
1149,886
1151,887
1151,889
1152,891
1153,892
1153,893
1153,895
1154,896
1154,898
1154,899
1153,900
1153,902
1153,903
1153,904
1152,906
1152,906
1151,908
1150,909
1151,912
1149,913
1148,913
1147,915
1146,916
1146,915
1144,917
1143,919
1142,920
1142,920
1141,923
1141,922
1142,924
1141,925
1141,927
1140,927
1140,928
1138,929
1139,931
1138,930
1137,931
1135,932
1135,934
1135,935
1134,935
1134,936
1132,938
1133,939
1133,941
1133,941
1132,943
1131,944
1130,946
1130,946
1130,948
1130,949
1130,949
1129,951
1128,951
1127,953
1127,954
1127,955
1126,957
1126,958
1126,959
1126,961
1124,963
1125,963
1124,965
1124,967
1124,967
1124,969
1123,970
1121,972
1121,973
1119,975
1119,977
1118,978
1117,979
1116,979
1116,980
1115,983
1114,983
1112,986
1113,988
1112,989
1112,990
1109,994
1108,995
1108,996
1106,996
1102,1000
1101,1001
1101,1005
1101,1007
1100,1009
1100,1010
1097,1015
1095,1017
1094,1021
1094,1023
1092,1029
1092,1030
1090,1035
1089,1036
1079,1047
1079,1047
1059,1074
1058,1074
1046,1081
1046,1081
1040,1087
1040,1089
1035,1092
1035,1093
1030,1098
1030,1098
1027,1101
1026,1102
1024,1106
1023,1107
1019,1109
1020,1110
1016,1111
1015,1112
1012,1114
1012,1114
1009,1116
1009,1117
1008,1119
1007,1120
1004,1122
1003,1123
1003,1124
1002,1124
1000,1126
999,1127
997,1129
996,1130
995,1133
995,1133
995,1135
994,1136
991,1136
991,1138
988,1139
988,1140
986,1141
986,1140
984,1140
983,1140
982,1143
981,1144
980,1145
979,1145
978,1147
976,1148
976,1149
975,1149
973,1149
972,1148
970,1148
969,1148
965,1149
964,1149
964,1151
964,1151
962,1152
960,1153
959,1154
958,1155
956,1154
956,1155
953,1154
953,1155
952,1156
951,1158
948,1159
948,1160
946,1160
946,1161
944,1162
945,1163
943,1164
943,1165
942,1167
941,1166
939,1167
939,1167
938,1167
936,1168
935,1169
934,1170
933,1170
932,1170
928,1172
928,1174
927,1174
926,1175
924,1175
924,1177
923,1178
922,1179
921,1180
920,1180
919,1180
917,1182
915,1181
914,1182
912,1181
911,1181
908,1182
908,1183
907,1184
906,1185
905,1186
903,1188
903,1188
901,1190
901,1191
899,1194
899,1194
897,1195
895,1196
894,1198
893,1200
891,1200
889,1200
887,1200
886,1200
885,1201
884,1203
882,1204
881,1205
878,1206
877,1206
875,1208
874,1208
871,1209
870,1210
867,1210
866,1210
863,1210
861,1211
858,1211
858,1212
853,1213
853,1214
848,1213
847,1214
844,1216
843,1217
839,1218
837,1218
833,1219
832,1218
827,1219
826,1220
821,1225
820,1225
812,1226
812,1227
804,1229
803,1230
792,1232
791,1232
