x,y
881,1204
879,1204
878,1205
877,1205
876,1206
874,1206
873,1207
871,1207
870,1208
869,1208
868,1209
866,1209
865,1210
863,1210
862,1211
860,1211
859,1212
857,1212
856,1213
854,1213
853,1214
851,1214
850,1215
848,1215
847,1216
845,1216
844,1217
841,1217
840,1218
838,1218
837,1219
835,1219
834,1220
831,1220
830,1221
827,1221
826,1222
823,1222
822,1223
819,1223
818,1224
815,1224
814,1225
811,1225
810,1226
806,1226
805,1227
801,1227
800,1228
796,1228
795,1229
791,1229
790,1230
785,1230
784,1231
779,1231
778,1232
772,1232
771,1233
764,1233
763,1234
755,1234
754,1235
743,1235
742,1236
728,1236
727,1237
